,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,7
3,X,PRON,1
4,Xx,ADP,1
5,Xx,PART,1
6,Xx,PRON,1
7,Xxx,DET,2
8,Xxxxx,ADJ,2
9,Xxxxx,ADV,1
10,Xxxxx,PROPN,5
11,other.,NUM,1
12,other.,PUNCT,2
13,x,DET,4
14,xx,ADP,17
15,xx,ADV,1
16,xx,AUX,2
17,xx,CCONJ,1
18,xx,DET,2
19,xx,PART,6
20,xx,PRON,7
21,xx,VERB,3
22,xxx,ADP,1
23,xxx,ADV,1
24,xxx,AUX,3
25,xxx,CCONJ,4
26,xxx,DET,12
27,xxx,NOUN,2
28,xxx,PART,2
29,xxx,PRON,4
30,xxx,VERB,3
31,xxxx,ADJ,12
32,xxxx,ADP,3
33,xxxx,ADV,3
34,xxxx,AUX,4
35,xxxx,CCONJ,1
36,xxxx,DET,5
37,xxxx,NOUN,34
38,xxxx,NUM,1
39,xxxx,SCONJ,4
40,xxxx,VERB,17
