,shape,pos,count
0,'x,PRON,1
1,",",PUNCT,5
2,.,PUNCT,17
3,X,DET,2
4,Xx,PRON,1
5,Xx,SCONJ,1
6,Xxx,CCONJ,1
7,Xxx,NUM,1
8,Xxx,PRON,3
9,Xxx,VERB,1
10,Xxxx,ADV,1
11,Xxxx,DET,2
12,Xxxxx,ADV,1
13,Xxxxx,NOUN,1
14,Xxxxx,PROPN,10
15,other.,PUNCT,6
16,x,DET,3
17,xx,ADP,6
18,xx,AUX,3
19,xx,CCONJ,1
20,xx,PART,5
21,xx,PRON,3
22,xx,VERB,1
23,xxx,ADJ,2
24,xxx,ADP,4
25,xxx,ADV,1
26,xxx,AUX,1
27,xxx,CCONJ,6
28,xxx,DET,11
29,xxx,NOUN,4
30,xxx,NUM,5
31,xxx,PRON,2
32,xxx,VERB,4
33,xxxx,ADJ,15
34,xxxx,ADP,2
35,xxxx,ADV,7
36,xxxx,AUX,5
37,xxxx,DET,4
38,xxxx,NOUN,22
39,xxxx,NUM,1
40,xxxx,PRON,6
41,xxxx,VERB,25
