,shape,pos,count
0,",",PUNCT,7
1,.,PUNCT,7
2,Xxx,CCONJ,3
3,Xxx,PRON,2
4,XxxXxxx,PROPN,2
5,Xxxxx,ADV,1
6,Xxxxx,PROPN,8
7,other.,PUNCT,10
8,x,DET,3
9,xx,ADP,16
10,xx,ADV,1
11,xx,AUX,1
12,xx,DET,1
13,xx,PART,5
14,xx,PRON,2
15,xx,VERB,1
16,xxx,ADJ,2
17,xxx,ADP,5
18,xxx,ADV,1
19,xxx,AUX,2
20,xxx,CCONJ,7
21,xxx,DET,9
22,xxx,NOUN,3
23,xxx,NUM,1
24,xxx,PART,2
25,xxx,PRON,7
26,xxx,VERB,9
27,xxxx,ADJ,5
28,xxxx,ADP,4
29,xxxx,ADV,6
30,xxxx,AUX,4
31,xxxx,DET,7
32,xxxx,NOUN,23
33,xxxx,PRON,6
34,xxxx,PROPN,2
35,xxxx,SCONJ,1
36,xxxx,VERB,14
37,"xxxx,—xxxx",PRON,2
