,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,7
2,Xx,PRON,1
3,Xx,SCONJ,1
4,Xx.,PROPN,2
5,Xxx,DET,1
6,Xxxx,ADV,2
7,Xxxx,PROPN,1
8,Xxxxx,ADP,1
9,Xxxxx,ADV,1
10,Xxxxx,PROPN,6
11,x,DET,3
12,xx,ADP,11
13,xx,ADV,1
14,xx,AUX,3
15,xx,PART,4
16,xx,PRON,9
17,xxx,ADJ,2
18,xxx,ADP,2
19,xxx,AUX,4
20,xxx,CCONJ,5
21,xxx,DET,4
22,xxx,NOUN,1
23,xxx,NUM,1
24,xxx,PART,1
25,xxx,PRON,5
26,xxx,VERB,4
27,xxxx,ADJ,9
28,xxxx,ADP,4
29,xxxx,ADV,7
30,xxxx,AUX,2
31,xxxx,CCONJ,1
32,xxxx,DET,6
33,xxxx,NOUN,19
34,xxxx,PRON,7
35,xxxx,SCONJ,5
36,xxxx,VERB,21
