,shape,pos,count
0,",",PUNCT,3
1,.,PUNCT,13
2,Xx,PRON,4
3,Xx.,PROPN,1
4,Xxx,PRON,1
5,Xxx,PROPN,9
6,Xxx.,PROPN,1
7,Xxxx,ADV,1
8,Xxxx,DET,2
9,Xxxxx,ADV,2
10,Xxxxx,NOUN,1
11,Xxxxx,PROPN,6
12,x,DET,1
13,xx,ADP,9
14,xx,AUX,5
15,xx,CCONJ,1
16,xx,PART,4
17,xx,PRON,2
18,xx,SCONJ,1
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADP,1
22,xxx,AUX,8
23,xxx,CCONJ,1
24,xxx,DET,6
25,xxx,NOUN,1
26,xxx,NUM,2
27,xxx,PART,2
28,xxx,PRON,11
29,xxx,SCONJ,1
30,xxx,VERB,2
31,xxxx,ADJ,5
32,xxxx,ADP,3
33,xxxx,ADV,6
34,xxxx,AUX,3
35,xxxx,DET,1
36,xxxx,NOUN,18
37,xxxx,PRON,3
38,xxxx,SCONJ,6
39,xxxx,VERB,25
