,shape,pos,count
0,",",PUNCT,17
1,.,PUNCT,7
2,Xx,ADP,1
3,Xxx,DET,1
4,Xxx,PROPN,1
5,Xxxx,ADJ,1
6,Xxxx,ADV,1
7,Xxxx,PRON,1
8,Xxxx,PROPN,1
9,Xxxxx,NOUN,2
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,6
12,other.,PUNCT,6
13,x,DET,1
14,xx,ADP,22
15,xx,AUX,1
16,xx,DET,1
17,xx,PART,3
18,xx,PRON,3
19,xx,VERB,1
20,xxx,ADJ,2
21,xxx,ADP,2
22,xxx,AUX,4
23,xxx,CCONJ,6
24,xxx,DET,19
25,xxx,NOUN,2
26,xxx,PART,1
27,xxx,PRON,4
28,xxx,VERB,2
29,xxxx,ADJ,22
30,xxxx,ADP,1
31,xxxx,ADV,5
32,xxxx,AUX,1
33,xxxx,DET,3
34,xxxx,NOUN,37
35,xxxx,PRON,1
36,xxxx,SCONJ,2
37,xxxx,VERB,18
