,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,7
3,X,PRON,1
4,Xx,PART,1
5,Xx,SCONJ,2
6,Xxx,DET,1
7,Xxxx,ADV,1
8,Xxxx,DET,1
9,Xxxxx,DET,2
10,Xxxxx,PROPN,2
11,other.,PUNCT,20
12,x,DET,7
13,xx,ADP,17
14,xx,AUX,3
15,xx,CCONJ,1
16,xx,INTJ,1
17,xx,PART,2
18,xx,PRON,3
19,xx,SCONJ,1
20,xx,VERB,3
21,xxx,ADJ,1
22,xxx,AUX,7
23,xxx,CCONJ,5
24,xxx,DET,13
25,xxx,NOUN,2
26,xxx,PART,1
27,xxx,PRON,7
28,xxx,VERB,2
29,xxxx,ADJ,15
30,xxxx,ADP,2
31,xxxx,ADV,5
32,xxxx,AUX,5
33,xxxx,DET,3
34,xxxx,INTJ,1
35,xxxx,NOUN,36
36,xxxx,PRON,7
37,xxxx,SCONJ,1
38,xxxx,VERB,28
