,shape,pos,count
0,"""""Xxxx",VERB,1
1,"""Xxxx",PUNCT,1
2,"""Xxxxx",PUNCT,1
3,"""Xxxxx",VERB,1
4,'x,PART,1
5,",",PUNCT,24
6,.,PUNCT,12
7,X,PRON,3
8,X'Xxxxx,PROPN,1
9,Xx,ADP,1
10,Xx,INTJ,1
11,Xx,PRON,2
12,Xxx,DET,1
13,Xxxx,PRON,1
14,Xxxx,PROPN,3
15,Xxxxx,PROPN,7
16,other.,PUNCT,18
17,x,DET,4
18,x'x,PART,1
19,xx,ADP,7
20,xx,ADV,3
21,xx,AUX,3
22,xx,DET,1
23,xx,PART,1
24,xx,PRON,5
25,xxx,ADV,2
26,xxx,AUX,5
27,xxx,CCONJ,7
28,xxx,DET,5
29,xxx,NOUN,2
30,xxx,NUM,2
31,xxx,PART,1
32,xxx,PRON,8
33,xxx,VERB,2
34,xxxx,ADJ,13
35,xxxx,ADP,5
36,xxxx,ADV,9
37,xxxx,AUX,1
38,xxxx,DET,1
39,xxxx,NOUN,22
40,xxxx,PRON,7
41,xxxx,SCONJ,2
42,xxxx,VERB,23
43,"xxxx!""""X",VERB,1
