,shape,pos,count
0,'x,PART,2
1,",",PUNCT,12
2,.,PUNCT,8
3,Xx,DET,1
4,Xx,PRON,1
5,Xx.,PROPN,4
6,Xxx,ADP,1
7,Xxx,DET,2
8,Xxxx,ADJ,1
9,Xxxxx,ADJ,1
10,Xxxxx,ADV,1
11,Xxxxx,PROPN,10
12,x,DET,8
13,xx,ADP,18
14,xx,ADV,1
15,xx,AUX,1
16,xx,CCONJ,1
17,xx,PART,5
18,xx,PRON,7
19,xx,SCONJ,1
20,xx,VERB,5
21,xxx,ADJ,1
22,xxx,ADP,1
23,xxx,ADV,1
24,xxx,AUX,8
25,xxx,CCONJ,4
26,xxx,DET,7
27,xxx,NOUN,2
28,xxx,PRON,6
29,xxx,VERB,5
30,xxxx,ADJ,15
31,xxxx,ADP,3
32,xxxx,ADV,9
33,xxxx,AUX,1
34,xxxx,DET,6
35,xxxx,NOUN,34
36,xxxx,PRON,2
37,xxxx,SCONJ,3
38,xxxx,VERB,15
