,shape,pos,count
0,"""Xxx",NOUN,1
1,'x,AUX,1
2,",",PUNCT,16
3,.,PUNCT,4
4,Xx,ADP,1
5,Xxx,CCONJ,1
6,Xxxxx,ADJ,1
7,Xxxxx,PROPN,5
8,other.,PUNCT,7
9,x,DET,6
10,xx,ADP,15
11,xx,ADV,1
12,xx,AUX,2
13,xx,CCONJ,1
14,xx,DET,1
15,xx,PART,3
16,xx,PRON,2
17,xx,SCONJ,1
18,xx,VERB,2
19,xxx,ADJ,1
20,xxx,ADP,2
21,xxx,AUX,5
22,xxx,CCONJ,2
23,xxx,DET,12
24,xxx,NOUN,2
25,xxx,NUM,3
26,xxx,PART,1
27,xxx,VERB,1
28,xxxx,ADJ,5
29,xxxx,ADP,7
30,xxxx,ADV,7
31,xxxx,AUX,8
32,xxxx,DET,6
33,xxxx,NOUN,31
34,xxxx,PRON,6
35,xxxx,SCONJ,1
36,xxxx,VERB,17
