,shape,pos,count
0,"""Xxx",PUNCT,1
1,"""Xxxx",PROPN,1
2,'x,PART,1
3,'x,VERB,1
4,'xx,AUX,2
5,",",PUNCT,15
6,.,PUNCT,7
7,X,PRON,3
8,Xxx,VERB,1
9,Xxxx,ADV,2
10,Xxxx,PRON,2
11,Xxxx,PROPN,3
12,Xxxx,VERB,1
13,Xxxxx,ADV,1
14,Xxxxx,PROPN,2
15,other.,PUNCT,8
16,x,DET,3
17,xx,ADP,10
18,xx,ADV,1
19,xx,AUX,1
20,xx,PART,3
21,xx,PRON,9
22,xx,SCONJ,1
23,xx,VERB,3
24,xxx,ADJ,1
25,xxx,ADP,4
26,xxx,ADV,1
27,xxx,AUX,3
28,xxx,CCONJ,9
29,xxx,DET,16
30,xxx,NOUN,3
31,xxx,NUM,1
32,xxx,PART,4
33,xxx,PRON,3
34,xxx,VERB,5
35,xxxx,ADJ,16
36,xxxx,ADP,2
37,xxxx,ADV,7
38,xxxx,AUX,6
39,xxxx,DET,2
40,xxxx,NOUN,21
41,xxxx,NUM,2
42,xxxx,PRON,5
43,xxxx,SCONJ,4
44,xxxx,VERB,24
