,shape,pos,count
0,"""Xxxx",PRON,1
1,"""Xxxx",PUNCT,1
2,'x,PART,1
3,",",PUNCT,17
4,.,PUNCT,6
5,X,PRON,1
6,Xx,INTJ,1
7,Xxx,CCONJ,1
8,Xxx,PRON,1
9,Xxx,PROPN,5
10,Xxxx,PROPN,7
11,Xxxxx,PROPN,3
12,other.,PUNCT,8
13,x,DET,3
14,xx,ADP,12
15,xx,ADV,2
16,xx,PART,1
17,xx,PRON,2
18,xx,VERB,1
19,xxx,ADJ,2
20,xxx,ADP,2
21,xxx,ADV,3
22,xxx,AUX,1
23,xxx,CCONJ,14
24,xxx,DET,11
25,xxx,NOUN,2
26,xxx,PART,1
27,xxx,PRON,12
28,xxx,VERB,1
29,xxxx,ADJ,6
30,xxxx,ADP,7
31,xxxx,ADV,7
32,xxxx,AUX,2
33,xxxx,DET,2
34,xxxx,NOUN,22
35,xxxx,PRON,2
36,xxxx,SCONJ,1
37,xxxx,VERB,24
