,shape,pos,count
0,",",PUNCT,14
1,.,PUNCT,8
2,X,DET,1
3,X,PRON,13
4,Xxx,DET,1
5,Xxx,NOUN,1
6,Xxx,PART,1
7,Xxx,PRON,2
8,Xxx,PROPN,1
9,Xxxxx,PROPN,3
10,Xxxxx,VERB,1
11,other.,NUM,1
12,other.,PUNCT,5
13,x,DET,3
14,xx,ADP,12
15,xx,ADV,1
16,xx,AUX,2
17,xx,DET,1
18,xx,PART,2
19,xx,PRON,8
20,xx,SCONJ,3
21,xx,VERB,1
22,xxx,ADP,2
23,xxx,ADV,1
24,xxx,AUX,5
25,xxx,CCONJ,8
26,xxx,DET,5
27,xxx,NOUN,1
28,xxx,PRON,6
29,xxx,VERB,2
30,xxxx,ADJ,12
31,xxxx,ADP,4
32,xxxx,ADV,8
33,xxxx,AUX,3
34,xxxx,DET,5
35,xxxx,NOUN,28
36,xxxx,PRON,1
37,xxxx,SCONJ,5
38,xxxx,VERB,21
