,shape,pos,count
0,",",PUNCT,10
1,.,NUM,2
2,.,PUNCT,8
3,X,DET,1
4,XX,PROPN,2
5,Xx,ADP,1
6,Xx,SCONJ,1
7,Xxxx,ADV,1
8,Xxxx,DET,1
9,Xxxxx,ADJ,1
10,Xxxxx,ADV,1
11,Xxxxx,DET,1
12,Xxxxx,PRON,1
13,other.,NOUN,2
14,other.,NUM,11
15,other.,PUNCT,4
16,x,DET,5
17,xx,ADP,13
18,xx,AUX,5
19,xx,PRON,3
20,xx,VERB,1
21,xxx,AUX,4
22,xxx,CCONJ,6
23,xxx,DET,3
24,xxx,NOUN,1
25,xxx,PART,4
26,xxx,PRON,3
27,xxx,SCONJ,1
28,xxx,VERB,4
29,xxxx,ADJ,17
30,xxxx,ADP,8
31,xxxx,ADV,12
32,xxxx,AUX,4
33,xxxx,DET,8
34,xxxx,NOUN,36
35,xxxx,NUM,2
36,xxxx,PRON,3
37,xxxx,SCONJ,4
38,xxxx,VERB,17
