,shape,pos,count
0,'x,PART,1
1,",",PUNCT,14
2,.,PUNCT,8
3,Xx,ADP,1
4,Xx,PRON,2
5,Xxx,PROPN,1
6,Xxxx,ADP,1
7,Xxxx,PROPN,2
8,Xxxxx,ADJ,3
9,Xxxxx,ADP,1
10,Xxxxx,ADV,2
11,Xxxxx,PROPN,24
12,Xxxxx,SCONJ,1
13,other.,NUM,4
14,other.,PUNCT,1
15,x,DET,2
16,xx,ADP,20
17,xx,AUX,1
18,xx,PART,1
19,xx,PRON,5
20,xxx,ADJ,2
21,xxx,AUX,4
22,xxx,CCONJ,6
23,xxx,DET,13
24,xxx,NOUN,1
25,xxx,PART,1
26,xxx,PRON,4
27,xxxx,ADJ,6
28,xxxx,ADP,7
29,xxxx,ADV,3
30,xxxx,AUX,3
31,xxxx,DET,9
32,xxxx,NOUN,25
33,xxxx,PRON,2
34,xxxx,SCONJ,1
35,xxxx,VERB,19
