,shape,pos,count
0,",",PUNCT,16
1,.,PUNCT,9
2,XX,PROPN,1
3,Xxx,DET,1
4,Xxx,NUM,1
5,Xxx,PROPN,2
6,Xxxx,DET,3
7,Xxxx,PROPN,2
8,Xxxxx,DET,1
9,Xxxxx,PROPN,19
10,Xxxxx,SCONJ,1
11,Xxxxx,VERB,1
12,ddxx,ADJ,4
13,ddxx,NOUN,1
14,other.,NUM,6
15,other.,PUNCT,8
16,x,DET,3
17,x.,ADP,2
18,xx,ADP,13
19,xx,PART,7
20,xx,VERB,1
21,xxx,ADP,2
22,xxx,AUX,2
23,xxx,CCONJ,11
24,xxx,DET,10
25,xxx,NOUN,2
26,xxxx,ADJ,21
27,xxxx,ADP,4
28,xxxx,ADV,5
29,xxxx,AUX,1
30,xxxx,DET,3
31,xxxx,NOUN,38
32,xxxx,PRON,1
33,xxxx,SCONJ,1
34,xxxx,VERB,30
