,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,13
2,X,DET,2
3,Xx,ADP,1
4,Xx,PRON,1
5,Xxx,DET,4
6,Xxxx,ADV,1
7,Xxxx,DET,2
8,Xxxx,PRON,1
9,Xxxxx,PRON,2
10,other.,PUNCT,4
11,x,DET,7
12,xx,ADP,13
13,xx,ADV,1
14,xx,AUX,2
15,xx,PART,3
16,xx,PRON,1
17,xx,VERB,1
18,xxx,ADJ,1
19,xxx,ADP,1
20,xxx,ADV,3
21,xxx,AUX,6
22,xxx,CCONJ,10
23,xxx,DET,21
24,xxx,NOUN,7
25,xxx,NUM,1
26,xxx,PART,1
27,xxx,SCONJ,1
28,xxx,VERB,4
29,xxxx,ADJ,9
30,xxxx,ADP,7
31,xxxx,ADV,6
32,xxxx,AUX,4
33,xxxx,DET,4
34,xxxx,NOUN,43
35,xxxx,PRON,6
36,xxxx,SCONJ,1
37,xxxx,VERB,17
