,shape,pos,count
0,",",PUNCT,16
1,.,PUNCT,6
2,X,PRON,1
3,Xx,PRON,2
4,Xx.,PROPN,1
5,Xxx,DET,1
6,Xxxx,DET,1
7,Xxxx,PROPN,1
8,Xxxxx,ADJ,1
9,Xxxxx,PROPN,1
10,other.,PUNCT,2
11,x,DET,4
12,xx,ADP,22
13,xx,ADV,2
14,xx,AUX,5
15,xx,CCONJ,3
16,xx,PART,4
17,xx,PRON,2
18,xx,VERB,1
19,xxx,ADJ,1
20,xxx,ADP,2
21,xxx,ADV,1
22,xxx,AUX,2
23,xxx,CCONJ,4
24,xxx,DET,10
25,xxx,NOUN,2
26,xxx,NUM,3
27,xxx,PRON,2
28,xxx,VERB,1
29,xxxx,ADJ,17
30,xxxx,ADP,5
31,xxxx,ADV,13
32,xxxx,AUX,4
33,xxxx,DET,2
34,xxxx,INTJ,1
35,xxxx,NOUN,32
36,xxxx,PRON,4
37,xxxx,SCONJ,4
38,xxxx,VERB,18
