,shape,pos,count
0,'x,PART,2
1,",",PUNCT,15
2,.,NUM,1
3,.,PUNCT,8
4,X,DET,1
5,X,PROPN,1
6,XX,PROPN,1
7,XXXXdxd,NOUN,1
8,Xx,ADP,1
9,Xxx,DET,2
10,Xxx,PROPN,4
11,Xxxx,ADJ,1
12,Xxxx,PROPN,2
13,Xxxxx,ADJ,1
14,Xxxxx,ADV,1
15,Xxxxx,NOUN,2
16,Xxxxx,PROPN,5
17,other.,NUM,4
18,other.,PUNCT,6
19,x,DET,6
20,xdd,NOUN,1
21,xx,ADP,15
22,xx,AUX,3
23,xx,PART,2
24,xx,PRON,1
25,xxx,ADJ,1
26,xxx,AUX,3
27,xxx,CCONJ,4
28,xxx,DET,6
29,xxx,NOUN,1
30,xxx,NUM,1
31,xxx,PRON,1
32,xxx,VERB,1
33,xxxx,ADJ,20
34,xxxx,ADP,7
35,xxxx,ADV,7
36,xxxx,DET,1
37,xxxx,NOUN,32
38,xxxx,NUM,8
39,xxxx,PRON,2
40,xxxx,SCONJ,1
41,xxxx,VERB,16
