,shape,pos,count
0,",",PUNCT,6
1,.,PUNCT,6
2,Xx,ADP,1
3,Xx,DET,1
4,Xxxx,DET,1
5,Xxxx,PRON,1
6,Xxxx,PROPN,3
7,Xxxxx,ADJ,1
8,Xxxxx,DET,1
9,Xxxxx,NOUN,1
10,Xxxxx,PROPN,16
11,Xxxxx,VERB,1
12,dxx,ADJ,1
13,other.,NUM,1
14,other.,PUNCT,2
15,x,DET,1
16,xx,ADP,18
17,xx,AUX,2
18,xx,CCONJ,1
19,xx,PART,1
20,xx,PRON,1
21,xxx,ADP,1
22,xxx,AUX,4
23,xxx,CCONJ,8
24,xxx,DET,16
25,xxx,NUM,1
26,xxx,PRON,2
27,xxx,VERB,1
28,xxxx,ADJ,10
29,xxxx,ADP,3
30,xxxx,ADV,5
31,xxxx,AUX,1
32,xxxx,DET,6
33,xxxx,NOUN,31
34,xxxx,PRON,1
35,xxxx,VERB,12
