,shape,pos,count
0,"""Xxxxx",PUNCT,2
1,'x,PART,1
2,",",PUNCT,13
3,.,PUNCT,7
4,X,PRON,6
5,Xxx,DET,1
6,Xxxx,DET,2
7,Xxxx,VERB,1
8,"Xxxx!""""Xxxx",DET,1
9,Xxxxx,PRON,1
10,Xxxxx,VERB,3
11,other.,PUNCT,21
12,x,DET,6
13,xx,ADP,11
14,xx,ADV,1
15,xx,AUX,6
16,xx,CCONJ,2
17,xx,DET,4
18,xx,PART,1
19,xx,PRON,8
20,xx,VERB,1
21,xxx,ADJ,1
22,xxx,ADP,2
23,xxx,ADV,2
24,xxx,AUX,5
25,xxx,CCONJ,6
26,xxx,DET,7
27,xxx,NOUN,3
28,xxx,NUM,1
29,xxx,PART,2
30,xxx,PRON,1
31,xxx,SCONJ,1
32,xxx,VERB,2
33,xxxx,ADJ,7
34,xxxx,ADP,10
35,xxxx,ADV,7
36,xxxx,AUX,2
37,xxxx,DET,2
38,xxxx,NOUN,39
39,xxxx,PRON,4
40,xxxx,SCONJ,1
41,xxxx,VERB,16
