,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,11
2,X,PRON,4
3,XX,NOUN,1
4,Xx,ADP,1
5,Xx,PRON,2
6,Xx,SCONJ,1
7,Xxx,ADV,1
8,Xxx,CCONJ,2
9,Xxx,PRON,3
10,Xxxx,ADV,2
11,Xxxxx,ADV,1
12,other.,NUM,1
13,other.,PUNCT,6
14,x,DET,1
15,x'x,PART,1
16,xx,ADP,4
17,xx,ADV,2
18,xx,AUX,2
19,xx,CCONJ,1
20,xx,PART,6
21,xx,PRON,13
22,xx,VERB,2
23,xxx,ADP,2
24,xxx,ADV,1
25,xxx,CCONJ,6
26,xxx,DET,3
27,xxx,NOUN,3
28,xxx,PART,1
29,xxx,PRON,7
30,xxx,VERB,5
31,xxxx,ADJ,6
32,xxxx,ADP,7
33,xxxx,ADV,8
34,xxxx,NOUN,21
35,xxxx,PRON,1
36,xxxx,SCONJ,5
37,xxxx,VERB,30
