,shape,pos,count
0,'x,PART,1
1,'xx,AUX,1
2,",",PUNCT,19
3,.,PUNCT,11
4,Xx,PRON,3
5,Xxx,NUM,1
6,Xxx,PROPN,9
7,Xxxx,ADV,3
8,Xxxx,PRON,1
9,Xxxx,PROPN,5
10,Xxxxx,ADV,1
11,Xxxxx,PROPN,5
12,other.,PUNCT,19
13,x,DET,9
14,xx,ADP,6
15,xx,ADV,3
16,xx,DET,1
17,xx,PART,3
18,xx,PRON,2
19,xx,VERB,3
20,xxx,ADJ,5
21,xxx,AUX,1
22,xxx,CCONJ,15
23,xxx,DET,8
24,xxx,NOUN,3
25,xxx,PRON,3
26,xxx,VERB,7
27,xxxx,ADJ,10
28,xxxx,ADP,6
29,xxxx,ADV,10
30,xxxx,AUX,2
31,xxxx,DET,2
32,xxxx,NOUN,29
33,xxxx,NUM,2
34,xxxx,PRON,6
35,xxxx,SCONJ,1
36,xxxx,VERB,20
37,"xxxx,—xxxx",PROPN,1
