,shape,pos,count
0,",",PUNCT,5
1,.,PUNCT,7
2,XX,PROPN,1
3,XXX,PROPN,6
4,Xx,PRON,2
5,Xxxx,DET,1
6,Xxxx,NOUN,1
7,Xxxxx,ADV,1
8,Xxxxx,NOUN,4
9,Xxxxx,VERB,1
10,other.,PUNCT,7
11,x,DET,4
12,xx,ADP,10
13,xx,AUX,1
14,xx,DET,2
15,xx,PART,1
16,xx,PRON,1
17,xx,SCONJ,1
18,xx,VERB,2
19,xxx,ADJ,1
20,xxx,ADP,1
21,xxx,AUX,1
22,xxx,CCONJ,5
23,xxx,DET,10
24,xxx,PRON,2
25,xxx,VERB,2
26,xxxx,ADJ,10
27,xxxx,ADP,6
28,xxxx,ADV,3
29,xxxx,AUX,2
30,xxxx,CCONJ,1
31,xxxx,DET,3
32,xxxx,NOUN,46
33,xxxx,NUM,1
34,xxxx,PRON,2
35,xxxx,SCONJ,4
36,xxxx,VERB,21
