,shape,pos,count
0,'x,PART,2
1,",",PUNCT,12
2,.,PUNCT,5
3,Xx,ADP,2
4,Xx,PRON,1
5,Xxx,DET,2
6,Xxx,NUM,1
7,Xxxx,AUX,1
8,Xxxx,PRON,1
9,Xxxx,PROPN,2
10,Xxxxx,PROPN,5
11,other.,NUM,1
12,other.,PUNCT,8
13,other.,VERB,1
14,x,DET,4
15,xx,ADP,20
16,xx,ADV,1
17,xx,AUX,5
18,xx,PART,7
19,xx,PRON,4
20,xx,SCONJ,1
21,xx,VERB,1
22,xxx,ADJ,1
23,xxx,ADP,2
24,xxx,AUX,4
25,xxx,CCONJ,5
26,xxx,DET,16
27,xxx,NOUN,2
28,xxx,NUM,1
29,xxx,PART,3
30,xxx,PRON,2
31,xxx,VERB,3
32,xxxx,ADJ,20
33,xxxx,ADP,5
34,xxxx,ADV,5
35,xxxx,AUX,5
36,xxxx,DET,5
37,xxxx,NOUN,41
38,xxxx,NUM,4
39,xxxx,SCONJ,2
40,xxxx,VERB,21
