,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,8
2,Xx,ADP,1
3,Xx,AUX,1
4,Xxx,DET,1
5,Xxx,PROPN,1
6,Xxxx,ADJ,1
7,Xxxx,DET,2
8,Xxxx,PROPN,1
9,Xxxxx,ADJ,1
10,Xxxxx,ADV,1
11,Xxxxx,PROPN,9
12,other.,NUM,1
13,other.,PUNCT,12
14,x,DET,9
15,x'x,PART,1
16,xx,ADP,16
17,xx,AUX,2
18,xx,PRON,3
19,xxx,ADJ,3
20,xxx,AUX,1
21,xxx,CCONJ,9
22,xxx,DET,15
23,xxx,NUM,2
24,xxx,PRON,3
25,xxx,VERB,6
26,xxxx,ADJ,13
27,xxxx,ADP,6
28,xxxx,ADV,4
29,xxxx,AUX,1
30,xxxx,DET,4
31,xxxx,NOUN,37
32,xxxx,NUM,3
33,xxxx,PRON,1
34,xxxx,SCONJ,1
35,xxxx,VERB,12
