,shape,pos,count
0,'x,PART,1
1,",",PUNCT,11
2,.,PUNCT,6
3,Xx,ADP,1
4,Xx,PRON,1
5,Xxx,DET,1
6,Xxx,PRON,1
7,Xxxx,PROPN,1
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,8
10,Xxxxx,SCONJ,1
11,Xxxxx,VERB,1
12,other.,PUNCT,1
13,x,DET,3
14,xx,ADP,18
15,xx,ADV,1
16,xx,CCONJ,1
17,xx,PART,2
18,xx,PRON,9
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADP,1
22,xxx,AUX,5
23,xxx,CCONJ,6
24,xxx,DET,10
25,xxx,NOUN,3
26,xxx,NUM,1
27,xxx,PART,2
28,xxx,PRON,4
29,xxx,VERB,3
30,xxxx,ADJ,12
31,xxxx,ADP,5
32,xxxx,ADV,5
33,xxxx,AUX,3
34,xxxx,DET,1
35,xxxx,NOUN,20
36,xxxx,NUM,1
37,xxxx,PRON,1
38,xxxx,PROPN,1
39,xxxx,SCONJ,3
40,xxxx,VERB,14
