,shape,pos,count
0,"""Xxxx",INTJ,1
1,'x,AUX,1
2,'xx,AUX,1
3,",",PUNCT,17
4,.,PUNCT,7
5,X,PRON,6
6,Xx,PRON,2
7,Xxx,PRON,1
8,Xxx,PROPN,1
9,Xxxx,PROPN,4
10,Xxxxx,ADV,1
11,Xxxxx,NUM,1
12,Xxxxx,PROPN,10
13,other.,PUNCT,9
14,x,DET,6
15,x'x,PART,1
16,xx,ADP,10
17,xx,ADV,2
18,xx,DET,1
19,xx,PART,2
20,xx,PRON,4
21,xx,SCONJ,1
22,xxx,ADP,2
23,xxx,ADV,1
24,xxx,AUX,3
25,xxx,CCONJ,5
26,xxx,DET,10
27,xxx,NOUN,7
28,xxx,NUM,2
29,xxx,PRON,9
30,xxx,VERB,5
31,xxxx,ADJ,13
32,xxxx,ADP,14
33,xxxx,ADV,11
34,xxxx,AUX,4
35,xxxx,DET,3
36,xxxx,NOUN,28
37,xxxx,PRON,1
38,xxxx,SCONJ,4
39,xxxx,VERB,24
