,shape,pos,count
0,",",PUNCT,9
1,.,PUNCT,7
2,Xx,ADP,1
3,Xx,DET,1
4,Xxx,ADV,1
5,Xxx,DET,1
6,Xxxx,PRON,1
7,Xxxxx,DET,1
8,Xxxxx,PROPN,6
9,other.,PUNCT,2
10,x,DET,4
11,xx,ADP,17
12,xx,AUX,3
13,xx,DET,1
14,xx,PART,3
15,xx,PRON,3
16,xx,VERB,2
17,xxx,ADJ,2
18,xxx,ADP,1
19,xxx,AUX,4
20,xxx,CCONJ,5
21,xxx,DET,12
22,xxx,NOUN,7
23,xxx,NUM,1
24,xxx,PART,4
25,xxx,PRON,4
26,xxx,VERB,2
27,xxxx,ADJ,17
28,xxxx,ADP,3
29,xxxx,ADV,2
30,xxxx,AUX,8
31,xxxx,DET,8
32,xxxx,NOUN,32
33,xxxx,PRON,3
34,xxxx,SCONJ,4
35,xxxx,VERB,17
