,shape,pos,count
0,",",PUNCT,14
1,.,PUNCT,14
2,X,PRON,4
3,Xx,ADP,1
4,Xx,AUX,1
5,Xx,INTJ,1
6,Xx,PRON,3
7,Xxx,CCONJ,2
8,Xxx,DET,5
9,Xxx,INTJ,1
10,Xxx,NUM,1
11,Xxx,PRON,1
12,Xxxx,DET,1
13,Xxxx,INTJ,1
14,Xxxxx,ADP,1
15,other.,PUNCT,12
16,x,DET,2
17,xx,ADP,8
18,xx,AUX,1
19,xx,PART,3
20,xx,PRON,4
21,xxx,ADJ,4
22,xxx,ADP,3
23,xxx,AUX,1
24,xxx,CCONJ,5
25,xxx,DET,6
26,xxx,NOUN,7
27,xxx,NUM,4
28,xxx,PRON,5
29,xxx,VERB,6
30,xxxx,ADJ,8
31,xxxx,ADP,6
32,xxxx,ADV,5
33,xxxx,AUX,2
34,xxxx,DET,4
35,xxxx,NOUN,22
36,xxxx,PRON,8
37,xxxx,SCONJ,1
38,xxxx,VERB,24
