,shape,pos,count
0,"""Xxx",INTJ,1
1,"""Xxxxx",ADJ,1
2,'x,PRON,1
3,",",PUNCT,14
4,.,PUNCT,10
5,X,PRON,1
6,Xx,ADP,1
7,Xxx,ADV,1
8,Xxx,DET,1
9,Xxx,VERB,1
10,Xxxx,ADV,1
11,Xxxx,DET,1
12,Xxxx,PROPN,4
13,Xxxxx,PROPN,3
14,Xxxxx,VERB,1
15,other.,PUNCT,3
16,x,DET,2
17,x'x,PART,1
18,xx,ADP,12
19,xx,ADV,1
20,xx,DET,3
21,xx,PART,1
22,xx,PRON,1
23,xxx,ADP,2
24,xxx,AUX,4
25,xxx,CCONJ,6
26,xxx,DET,11
27,xxx,NOUN,1
28,xxx,NUM,1
29,xxx,PRON,3
30,xxx,VERB,2
31,xxxx,ADJ,12
32,xxxx,ADP,5
33,xxxx,ADV,4
34,xxxx,AUX,2
35,xxxx,DET,2
36,xxxx,INTJ,1
37,xxxx,NOUN,38
38,xxxx,PRON,6
39,xxxx,SCONJ,3
40,xxxx,VERB,23
