,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,9
2,Xx,ADV,1
3,Xxx,ADP,2
4,Xxx,ADV,1
5,Xxx,CCONJ,1
6,Xxx,NUM,1
7,Xxxx,ADJ,1
8,Xxxxx,ADP,2
9,Xxxxx,ADV,1
10,Xxxxx,VERB,1
11,other.,PUNCT,2
12,x,DET,8
13,xx,ADP,7
14,xx,AUX,10
15,xx,CCONJ,3
16,xx,PART,7
17,xx,PRON,1
18,xxx,ADJ,3
19,xxx,ADP,5
20,xxx,ADV,1
21,xxx,AUX,3
22,xxx,CCONJ,2
23,xxx,DET,9
24,xxx,NOUN,2
25,xxx,PART,1
26,xxx,PRON,5
27,xxx,VERB,4
28,xxxx,ADJ,10
29,xxxx,ADP,3
30,xxxx,ADV,7
31,xxxx,AUX,2
32,xxxx,DET,3
33,xxxx,NOUN,37
34,xxxx,NUM,1
35,xxxx,PRON,5
36,xxxx,SCONJ,5
37,xxxx,VERB,20
