,shape,pos,count
0,"""Xxx",DET,1
1,"""Xxxx",INTJ,1
2,'x,PART,1
3,",",PUNCT,21
4,.,PUNCT,5
5,X,PRON,3
6,Xx,PRON,1
7,Xxx,CCONJ,1
8,Xxx.,PROPN,1
9,Xxxx,ADV,2
10,Xxxx,DET,1
11,Xxxx,PRON,1
12,Xxxxx,INTJ,1
13,Xxxxx,PROPN,3
14,other.,PUNCT,13
15,x,DET,4
16,xx,ADP,18
17,xx,DET,1
18,xx,PART,6
19,xx,PRON,6
20,xx,SCONJ,1
21,xx,VERB,1
22,xxx,ADJ,1
23,xxx,ADP,4
24,xxx,ADV,1
25,xxx,AUX,7
26,xxx,CCONJ,7
27,xxx,DET,18
28,xxx,NOUN,7
29,xxx,PART,2
30,xxx,PRON,8
31,xxx,VERB,5
32,xxxx,ADJ,9
33,xxxx,ADP,8
34,xxxx,ADV,4
35,xxxx,AUX,2
36,xxxx,DET,5
37,xxxx,NOUN,28
38,xxxx,PRON,2
39,xxxx,SCONJ,1
40,xxxx,VERB,23
