,shape,pos,count
0,'x,PART,1
1,",",PUNCT,16
2,.,PUNCT,7
3,X,DET,1
4,XXX,PROPN,2
5,Xx,ADP,1
6,Xxx,DET,1
7,Xxx,PROPN,1
8,Xxxx,DET,1
9,Xxxx,PROPN,1
10,Xxxxx,ADJ,1
11,Xxxxx,NOUN,3
12,Xxxxx,PROPN,2
13,other.,NUM,1
14,other.,PUNCT,7
15,x,DET,9
16,xx,ADP,12
17,xx,ADV,2
18,xx,AUX,6
19,xx,CCONJ,2
20,xx,DET,3
21,xx,PART,2
22,xxx,ADP,2
23,xxx,AUX,1
24,xxx,CCONJ,8
25,xxx,DET,7
26,xxx,NOUN,1
27,xxx,PROPN,1
28,xxx,VERB,2
29,xxxx,ADJ,15
30,xxxx,ADP,1
31,xxxx,ADV,1
32,xxxx,DET,5
33,xxxx,NOUN,66
34,xxxx,VERB,12
