,shape,pos,count
0,'x,PART,2
1,",",PUNCT,12
2,.,PUNCT,15
3,X,PRON,1
4,Xx,ADV,1
5,Xx,PRON,7
6,Xxx,DET,1
7,Xxx,PRON,1
8,Xxxx,ADV,2
9,Xxxx,DET,1
10,Xxxx,PRON,1
11,Xxxxx,ADP,2
12,Xxxxx,PROPN,8
13,other.,PUNCT,6
14,x,DET,9
15,xx,ADP,6
16,xx,AUX,3
17,xx,PART,4
18,xx,PRON,8
19,xxx,ADJ,4
20,xxx,ADP,2
21,xxx,AUX,6
22,xxx,CCONJ,2
23,xxx,DET,8
24,xxx,NOUN,18
25,xxx,PART,1
26,xxx,PRON,11
27,xxx,VERB,4
28,xxxx,ADJ,8
29,xxxx,ADP,4
30,xxxx,ADV,6
31,xxxx,DET,2
32,xxxx,NOUN,21
33,xxxx,PRON,2
34,xxxx,SCONJ,2
35,xxxx,VERB,25
