,shape,pos,count
0,"""""Xx",INTJ,1
1,"""""Xxxx",NOUN,1
2,'x,AUX,2
3,'x,PART,3
4,",",PUNCT,11
5,.,PUNCT,12
6,X,PRON,4
7,Xx,ADV,1
8,Xx,PRON,3
9,Xx.,PROPN,5
10,Xxx,ADV,1
11,Xxx,CCONJ,2
12,Xxx,DET,1
13,Xxx.,PROPN,3
14,Xxxx,PROPN,5
15,Xxxxx,PROPN,18
16,Xxxxx,VERB,1
17,other.,PUNCT,8
18,x,DET,3
19,x'x,PART,1
20,xx,ADP,9
21,xx,ADV,1
22,xx,AUX,1
23,xx,CCONJ,1
24,xx,DET,2
25,xx,PART,4
26,xx,PRON,9
27,xx,VERB,2
28,xxx,ADJ,1
29,xxx,ADP,2
30,xxx,AUX,3
31,xxx,CCONJ,3
32,xxx,DET,6
33,xxx,NOUN,2
34,xxx,NUM,2
35,xxx,PART,1
36,xxx,PRON,9
37,xxx,VERB,6
38,xxxx,ADJ,5
39,xxxx,ADP,8
40,xxxx,ADV,7
41,xxxx,CCONJ,1
42,xxxx,DET,5
43,xxxx,NOUN,20
44,xxxx,PRON,2
45,xxxx,SCONJ,2
46,xxxx,VERB,20
