,shape,pos,count
0,"""Xxxxx",INTJ,1
1,'x,PART,1
2,",",PUNCT,7
3,.,PUNCT,8
4,Xx,ADP,2
5,Xxx,DET,1
6,Xxxx,ADP,1
7,Xxxx,PROPN,3
8,Xxxxx,ADV,1
9,Xxxxx,PROPN,1
10,Xxxxx,VERB,1
11,other.,PUNCT,2
12,x,DET,3
13,x'x,PART,1
14,xx,ADP,14
15,xx,AUX,1
16,xx,PART,1
17,xx,PRON,1
18,xx,VERB,1
19,xxx,ADP,1
20,xxx,AUX,4
21,xxx,CCONJ,1
22,xxx,DET,21
23,xxx,NOUN,3
24,xxx,NUM,2
25,xxx,VERB,3
26,xxxx,ADJ,8
27,xxxx,ADP,9
28,xxxx,ADV,6
29,xxxx,DET,2
30,xxxx,NOUN,36
31,xxxx,NUM,1
32,xxxx,PRON,2
33,xxxx,SCONJ,3
34,xxxx,VERB,21
