,shape,pos,count
0,'x,PART,2
1,",",PUNCT,16
2,.,PUNCT,4
3,Xxx,DET,2
4,Xxx,PROPN,2
5,Xxxx,ADJ,2
6,Xxxx,ADV,1
7,Xxxx,PRON,1
8,Xxxx,PROPN,2
9,Xxxxx,ADV,1
10,other.,PUNCT,7
11,x,DET,1
12,xx,ADP,8
13,xx,ADV,3
14,xx,PART,2
15,xx,PRON,5
16,xx,VERB,1
17,xxx,ADJ,2
18,xxx,ADP,4
19,xxx,ADV,3
20,xxx,AUX,4
21,xxx,CCONJ,13
22,xxx,DET,14
23,xxx,NOUN,3
24,xxx,NUM,2
25,xxx,PRON,6
26,xxx,VERB,2
27,xxxx,ADJ,20
28,xxxx,ADP,1
29,xxxx,ADV,5
30,xxxx,AUX,5
31,xxxx,DET,1
32,xxxx,NOUN,25
33,xxxx,NUM,3
34,xxxx,PRON,1
35,xxxx,SCONJ,1
36,xxxx,VERB,18
37,"xxxx?""Xxx",NOUN,1
38,xxxxXxxx,VERB,1
