,shape,pos,count
0,",",PUNCT,6
1,.,PUNCT,15
2,X,DET,1
3,Xx,ADP,2
4,Xx,PART,1
5,Xx,PRON,1
6,Xxx,ADP,1
7,Xxx,DET,3
8,Xxxx,ADV,1
9,Xxxx,DET,1
10,Xxxxx,ADJ,1
11,Xxxxx,NOUN,1
12,Xxxxx,PROPN,7
13,ddddx,NOUN,1
14,other.,NUM,1
15,other.,PUNCT,12
16,x,DET,6
17,xx,ADP,4
18,xx,AUX,2
19,xx,CCONJ,2
20,xx,DET,1
21,xx,PART,3
22,xx,PRON,4
23,xx,VERB,1
24,xxx,AUX,7
25,xxx,DET,8
26,xxx,NOUN,7
27,xxx,PART,2
28,xxx,PRON,1
29,xxx,VERB,7
30,xxxx,ADJ,10
31,xxxx,ADP,8
32,xxxx,ADV,6
33,xxxx,AUX,1
34,xxxx,DET,5
35,xxxx,NOUN,43
36,xxxx,PRON,1
37,xxxx,SCONJ,4
38,xxxx,VERB,24
