,shape,pos,count
0,",",PUNCT,14
1,.,PUNCT,8
2,X,PRON,5
3,X'Xxxxx,PROPN,1
4,Xx,PRON,1
5,Xx.,PROPN,1
6,Xxxx,ADP,1
7,Xxxx,DET,3
8,Xxxxx,NOUN,1
9,Xxxxx,PROPN,2
10,other.,PUNCT,3
11,x,DET,2
12,xx,ADP,14
13,xx,AUX,5
14,xx,PART,6
15,xx,PRON,7
16,xx,VERB,1
17,xxx,ADJ,1
18,xxx,ADP,4
19,xxx,ADV,2
20,xxx,AUX,1
21,xxx,CCONJ,7
22,xxx,DET,9
23,xxx,NOUN,3
24,xxx,PRON,6
25,xxx,VERB,4
26,xxxx,ADJ,5
27,xxxx,ADP,5
28,xxxx,ADV,5
29,xxxx,AUX,3
30,xxxx,DET,4
31,xxxx,NOUN,31
32,xxxx,PRON,5
33,xxxx,SCONJ,4
34,xxxx,VERB,16
