,shape,pos,count
0,'x,PART,1
1,",",PUNCT,11
2,.,PUNCT,6
3,X,DET,1
4,Xx,ADP,1
5,Xxx,DET,1
6,Xxx,PROPN,1
7,Xxxx,DET,1
8,Xxxxx,ADP,1
9,Xxxxx,NOUN,1
10,Xxxxx,PROPN,3
11,x,DET,5
12,x'x,PART,2
13,xx,ADP,16
14,xx,AUX,1
15,xx,CCONJ,1
16,xx,DET,2
17,xx,PART,3
18,xx,PRON,2
19,xxx,ADP,2
20,xxx,AUX,4
21,xxx,CCONJ,6
22,xxx,DET,16
23,xxx,NOUN,2
24,xxx,PART,1
25,xxx,PRON,7
26,xxx,VERB,4
27,"xxx?""Xxxxx",PRON,1
28,xxxx,ADJ,8
29,xxxx,ADP,8
30,xxxx,ADV,8
31,xxxx,AUX,6
32,xxxx,DET,4
33,xxxx,NOUN,30
34,xxxx,PRON,10
35,xxxx,VERB,22
36,"xxxx:""X",NOUN,1
