,shape,pos,count
0,'x,PART,3
1,'x,VERB,1
2,",",PUNCT,14
3,.,PUNCT,16
4,X,PRON,8
5,Xx,PRON,1
6,Xx,SCONJ,2
7,Xxx,DET,3
8,Xxxx,ADJ,2
9,Xxxx,VERB,1
10,Xxxxx,ADV,1
11,Xxxxx,INTJ,1
12,Xxxxx,PROPN,10
13,other.,PUNCT,18
14,x'x,PART,1
15,xx,ADP,2
16,xx,ADV,1
17,xx,AUX,2
18,xx,PART,4
19,xx,PRON,8
20,xx,VERB,1
21,xxx,ADJ,1
22,xxx,ADV,1
23,xxx,AUX,6
24,xxx,CCONJ,3
25,xxx,DET,11
26,xxx,PART,1
27,xxx,PRON,9
28,xxx,VERB,4
29,xxxx,ADJ,4
30,xxxx,ADP,6
31,xxxx,ADV,2
32,xxxx,AUX,4
33,xxxx,NOUN,26
34,xxxx,PRON,2
35,xxxx,SCONJ,1
36,xxxx,VERB,28
