,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,6
2,X,DET,1
3,X,PROPN,1
4,X.,PROPN,1
5,Xx.,PROPN,2
6,Xxx,DET,4
7,Xxxx,DET,1
8,Xxxxx,ADJ,1
9,Xxxxx,PROPN,6
10,other.,NUM,3
11,other.,PUNCT,4
12,x,DET,2
13,xx,ADP,28
14,xx,ADV,1
15,xx,DET,2
16,xx,PART,1
17,xx,PRON,1
18,xxx,ADP,2
19,xxx,AUX,4
20,xxx,CCONJ,6
21,xxx,DET,14
22,xxx,NOUN,1
23,xxx,NUM,1
24,xxx,PRON,2
25,xxx,VERB,1
26,xxxx,ADJ,15
27,xxxx,ADP,3
28,xxxx,ADV,12
29,xxxx,AUX,3
30,xxxx,DET,1
31,xxxx,NOUN,39
32,xxxx,PRON,1
33,xxxx,SCONJ,2
34,xxxx,VERB,24
