,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,7
2,X,DET,2
3,XXX,NOUN,2
4,XXX,PROPN,1
5,Xx,PRON,1
6,Xxx,DET,1
7,Xxxx,NOUN,1
8,Xxxxx,ADP,1
9,Xxxxx,ADV,1
10,Xxxxx,DET,1
11,Xxxxx,PROPN,4
12,ddddx,NUM,1
13,other.,NUM,2
14,other.,PUNCT,6
15,other.,SYM,1
16,x,DET,7
17,xX,PROPN,1
18,xx,ADP,11
19,xx,AUX,2
20,xx,CCONJ,2
21,xx,DET,1
22,xx,PART,5
23,xx,PRON,1
24,xxx,ADJ,2
25,xxx,ADP,1
26,xxx,ADV,1
27,xxx,AUX,3
28,xxx,CCONJ,3
29,xxx,DET,5
30,xxx,NOUN,1
31,xxx,NUM,1
32,xxx,VERB,2
33,xxxx,ADJ,15
34,xxxx,ADP,4
35,xxxx,ADV,6
36,xxxx,AUX,4
37,xxxx,DET,5
38,xxxx,NOUN,35
39,xxxx,PRON,3
40,xxxx,SCONJ,2
41,xxxx,VERB,21
